run,family,source,seed,ckpt,method,group,n,exact_identities,metric,estimate,ci_low,ci_high,finite_only_mean
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,target_nyu,19,0,mae,0.04265161211145644,0.03779382820138936,0.04742848094748823,0.04265161211145644
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,target_nyu,19,0,pixel_cosine_similarity,0.9960178623614503,0.9950761516739958,0.9968671796549778,0.9960178623614503
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,target_nyu,19,0,cross_correlation,0.9929744452349862,0.991578638037136,0.9943025131437407,0.9929744452349862
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,target_nyu,19,0,subject_wasserstein_raw_harm,0.04265161211145644,0.03779382820138936,0.04742848094748823,0.04265161211145644
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,target_nyu,19,0,subject_kl_raw_harm,0.11633828873532297,0.06775515325287981,0.19957359946840203,0.11633828873532297
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,target_nyu,19,0,raw_site_ba,1.0,1.0,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,target_nyu,19,0,harmonized_site_ba,0.9473684210526315,0.8421052631578947,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,histogram_matching,target_nyu,19,0,site_ba_drop,0.052631578947368474,0.0,0.1578947368421053,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,all,109,1,psnr,,,,44.56606585866606
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,all,109,1,mse,0.00758883405749597,0.006973799958473279,0.008139581962501544,0.00758883405749597
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,all,109,1,mae,0.0485900545224778,0.04620867411569323,0.05068699323080444,0.0485900545224778
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,all,109,1,pixel_cosine_similarity,0.9901412233592013,0.9894088425105875,0.990807503802839,0.9901412233592013
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,all,109,1,cross_correlation,0.9812471855793311,0.9798624501530944,0.9825758769026334,0.9812471855793311
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,all,109,1,subject_wasserstein_raw_harm,0.0399596071511523,0.03712218146190192,0.042463036678908196,0.0399596071511523
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,cyclegan_tuned,all,109,1,subject_kl_raw_harm,0.1320770343368263,0.11044124069010382,0.15310682615596424,0.1320770343368263
